A1A,A2A,A3A,A4A,A4B,A3B,A2B,A1B,B1A,B2A,B3A,B4A,B4B,B3B,B2B,B1B,timestamp
3.428931705090644e-08,9.162244750537041e-07,2.113068751467651e-06,2.8170056874859524e-06,1.6843875087313277e-06,4.3211205724071216e-09,4.595074516950623e-06,2.5331274355400106e-06,1.0984374018068398e-07,1.7634265914760227e-06,1.0827716181048421e-06,2.9205858111720298e-06,3.1904622891358773e-06,2.104419251602404e-06,2.8578364357854987e-06,3.520359443182445e-08,831840.2116486208
1.8397175469031785e-08,4.190035410271436e-07,2.0657364464025616e-06,2.0919338756152386e-06,2.186996989411711e-06,8.08383279874008e-09,4.4063475192393425e-06,2.7980905940543354e-06,3.876506947759846e-08,9.470696315030751e-07,4.79240848349535e-07,2.246612879912843e-06,4.675556153581369e-06,4.57538257876569e-06,3.8207047321784e-06,4.752369000300183e-08,831845.0943996978
1.6419783731320297e-08,1.06691888443859e-06,4.032805107585397e-06,3.217097359272228e-06,7.590459821787095e-07,3.951686107494247e-09,1.1668105780296854e-06,1.6273121113383207e-06,3.885537879370292e-08,1.0053235817066697e-06,8.618553148781879e-07,1.3044045941919755e-06,1.3321086922732186e-06,2.339712276481676e-06,3.074653575157584e-06,3.8846047120752376e-08,831849.9798698749
1.3454920373735197e-07,3.104561695334574e-06,1.5581495220294323e-06,1.489133669542935e-06,7.025302724303842e-07,1.876058421208908e-09,6.466017593091801e-06,8.798244029668913e-07,8.110976626556704e-08,2.4678413550475114e-06,1.0819080732659676e-06,2.741717013903318e-06,3.7941890383091457e-06,1.7999089928395303e-06,4.7428004278841505e-06,6.251610254071927e-08,831854.859407052
2.7765790229664033e-07,1.8617426309723835e-05,1.2089505855929155e-05,1.958770014395594e-05,2.024606611829857e-05,1.0498972446203387e-08,1.525969828207192e-05,2.7691488185534915e-05,2.2972020585700686e-07,2.5718757927849276e-05,6.933270389643085e-05,1.069164979318096e-05,6.9507937923033114e-06,9.312925911517617e-06,4.518967984500978e-06,4.411003436735355e-08,831859.7314514293
1.2814352487027448e-07,1.044211227149882e-05,8.899919702090562e-07,2.509303508065173e-06,1.2034105545495894e-06,3.073104361595081e-09,5.109677789985179e-06,9.485912571247895e-07,3.670515527949872e-08,2.487472797301409e-06,1.4477562677159258e-06,4.263818005311688e-06,3.939093216147645e-06,3.789240393082564e-06,1.5645530179865536e-06,2.0524025124685087e-08,831864.6158659064
6.957412464142176e-08,2.21982767761314e-06,7.98034276618613e-07,1.2690086898542608e-06,1.2244885332994491e-06,2.7673878377790562e-09,1.560070228377719e-06,1.6160380425377495e-06,7.985821360089354e-08,1.798341089133642e-06,9.048718792274775e-07,2.2474132218329356e-06,3.543508663975022e-06,2.7445659938981935e-06,3.138628862804034e-06,3.592636058389929e-08,831869.4897173835
2.3473443976252963e-07,2.7319370348898247e-05,9.708526093205737e-06,9.785461578449154e-06,8.028482089590399e-05,7.672884636720786e-08,3.637860387787655e-06,3.763894072322702e-05,3.863139615720026e-07,1.1965093996285209e-05,3.133800787657342e-05,6.379132463865006e-06,5.512152016432098e-06,3.863736778432125e-05,1.0982922707790864e-05,1.3893778833408096e-07,831874.3616657606
2.8291338336543005e-08,4.0266768374834174e-06,5.091569770224051e-06,1.6888832191577335e-06,1.0329698218319693e-05,1.1664358052622426e-08,2.5390337975315024e-06,1.3889566100011173e-06,6.859807413187966e-08,4.158817242127613e-06,2.714843605020922e-06,4.097044403795718e-06,5.215577514476179e-06,3.8861135517555175e-06,5.355211279816486e-06,6.538034679935559e-08,831879.2575889376
6.14762862989649e-08,1.0853999219731103e-06,7.647739829289637e-07,4.073786932481894e-06,4.111822861665582e-06,1.0200512685123286e-08,3.5484702972378068e-06,3.123795615074431e-06,4.7955754055250944e-08,2.8768898340082646e-06,1.5972266093961022e-06,1.624363282035434e-06,3.467313955256396e-06,2.609635541439175e-06,2.877776328554063e-06,3.857348128873611e-08,831884.1342342149
1.5323991033711447e-08,9.288528647662993e-07,7.439174327155848e-06,2.250351311802825e-06,1.4068664811183151e-06,6.3169708498590875e-09,2.002471371641421e-06,2.9155780555498105e-07,5.037959449612869e-08,4.656760124686335e-06,4.085523824829093e-06,2.350523179442316e-06,4.024270320710915e-06,1.3394800037869373e-06,4.234005454930852e-06,5.6870345872616174e-08,831889.0146636919
4.029523287177543e-08,1.16671031674997e-06,2.3253829681521193e-06,2.9958446122650927e-06,1.544158915836966e-06,2.2061964415966608e-09,2.0662472687774104e-06,4.066890102181733e-07,6.188346435623392e-08,1.6435132785993303e-06,4.884427307578198e-07,2.6693678620230655e-06,2.406372189579536e-06,3.996356490598223e-06,2.010413625051142e-06,2.4428077109464e-08,831893.8862505691
2.0534498590429878e-08,9.06186051472287e-07,3.231885291626421e-06,2.1697232537607933e-06,3.7837343034461055e-06,7.881919151349514e-09,3.6947159488217094e-06,1.191558162485431e-06,7.71584963800152e-08,1.329282451215104e-06,9.782145126622221e-07,3.232517602410309e-06,6.017840969151862e-06,3.385275370319967e-06,2.8902002939892354e-06,4.028233542003389e-08,831898.7641901462
