A,B,C,D,E,timestamp,marker,i
0.39451227247722764,0.4926337638555848,0.3473147724602668,1.0967751267654648,0.3008735890524025,831786.5688466722,calib-begin,0
0.013665610973087485,0.23807387071036723,0.23546074449740056,1.5887943699168807,0.3887045701444612,831791.4404564494,imag_grasp,1
-0.351026593203249,-0.426803508757637,0.06305853102614492,1.8936790726290187,0.35712615941767634,831796.3063262266,imag_release,2
-0.49799244880877674,-1.2451900271699101,-0.10217357797463633,1.9394806922628105,0.2117849435713946,831801.1677097038,imag_grasp,3
-0.34982865760920173,-1.9558172617399032,-0.19902359987308743,1.7275750669046346,-0.017845651350547505,831806.028982581,imag_release,4
0.024746648969469633,-2.3888993185041465,-0.17049790798372846,1.313682378090479,-0.28377751233940596,831810.9066676581,imag_grasp,5
0.46470854621432484,-2.494190230147901,0.029347469135312335,0.77720034564478,-0.5248773971818276,831815.7718269353,imag_release,6
0.8120953334043659,-2.3092191521392373,0.41424704124832584,0.1949117474099833,-0.6766682091748275,831820.6367916125,imag_grasp,7
0.9956635355876658,-1.9032427992924759,0.9401609925961523,-0.37088427958246856,-0.6869935921850676,831825.5199151896,imag_release,8
1.055481469137553,-1.3375208348799656,1.4941132736668759,-0.8710494723117014,-0.5338028473260926,831830.4022323667,imag_grasp,9
1.1024070679945401,-0.6582279231815159,1.9128293586212275,-1.2631603522259136,-0.23804279972310066,831835.3145592437,imag_release,10
1.2367782634200404,0.08101168923121747,2.033662928809476,-1.5091015641558918,0.13545732268703412,831840.2116486208,imag_grasp,11
1.4771026955790931,0.7950002225846479,1.7587698003530712,-1.5816075940656646,0.49241575442120633,831845.0943996978,imag_release,12
1.739085807375444,1.369470633519982,1.1042088543710042,-1.4760803949045749,0.7370543926106232,831849.9798698749,imag_grasp,13
1.8761996668809124,1.6981897983797514,0.2091220443443018,-1.2201064279204017,0.8033031815216706,831854.859407052,imag_release,14
1.7590269738293163,1.736219691626994,-0.7053976405265294,-0.8720200520151288,0.6772109632780549,831859.7314514293,imag_grasp,15
1.346575278862894,1.5377112971890141,-1.4125269372163418,-0.5064184448613847,0.40118721157062454,831864.6158659064,imag_release,16
