%OpenBCI Raw EEG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Timestamp (Formatted)
251.0, 166510.390625, 187500.0, -37485.640625, -7871.6806640625, -187500.015625, -9120.2041015625, 1635.1641845703125, 3518.52197265625, 0.030000001192092896, 0.940000057220459, 0.2200000137090683, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154787593043087E9, 2021-03-11 17:05:59.304
252.0, 166446.03125, 187500.0, -37237.04296875, -7726.46142578125, -187500.015625, -9198.9052734375, 1530.781494140625, 3444.515380859375, 0.030000001192092896, 0.940000057220459, 0.2200000137090683, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154787593044655E9, 2021-03-11 17:05:59.304
253.0, 166185.1875, 187500.0, -37267.53125, -7749.55078125, -187500.015625, -9508.7451171875, 1199.193359375, 3146.0078125, 0.030000001192092896, 0.940000057220459, 0.2200000137090683, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.615478759304475E9, 2021-03-11 17:05:59.304
254.0, 166047.59375, 187500.0, -37545.6328125, -7902.50390625, -187500.015625, -9642.2958984375, 1102.0303955078125, 3019.251220703125, 0.030000001192092896, 0.940000057220459, 0.2200000137090683, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154787593044808E9, 2021-03-11 17:05:59.304
255.0, 166285.96875, 187500.0, -37651.9375, -7951.76708984375, -187500.015625, -9389.38671875, 1418.151123046875, 3303.5654296875, 0.030000001192092896, 0.940000057220459, 0.2200000137090683, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.615478759304485E9, 2021-03-11 17:05:59.304
0.0, 166540.46875, 187500.0, -37447.91015625, -7823.75830078125, -187500.015625, -9148.3896484375, 1655.3477783203125, 3547.266357421875, 0.030000001192092896, 0.940000057220459, 0.2200000137090683, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154787593044896E9, 2021-03-11 17:05:59.304
1.0, 166474.265625, 187500.0, -37264.06640625, -7694.7216796875, -187500.015625, -9257.734375, 1534.0672607421875, 3457.99365234375, 0.030000001192092896, 0.940000057220459, 0.2200000137090683, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.615478759304495E9, 2021-03-11 17:05:59.304
2.0, 166178.15625, 187500.0, -37343.08203125, -7740.83349609375, -187500.015625, -9593.5693359375, 1208.0670166015625, 3139.481201171875, 0.04400000348687172, 0.9280000329017639, 0.21000000834465027, 192.0, 1.0, 96.0, 29.0, 0.0, 6.0, 144.0, 0.0, 0.0, 0.0, 1.6154787593045003E9, 2021-03-11 17:05:59.304
3.0, 166029.203125, 187500.0, -37638.90625, -7908.0244140625, -187500.015625, -9708.45703125, 1085.199462890625, 3014.423095703125, 0.04400000348687172, 0.9280000329017639, 0.21000000834465027, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154787593045042E9, 2021-03-11 17:05:59.304
4.0, 166272.828125, 187500.0, -37736.08984375, -7952.90673828125, -187500.015625, -9404.25, 1400.739013671875, 3301.486572265625, 0.04400000348687172, 0.9280000329017639, 0.21000000834465027, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.61547875930451E9, 2021-03-11 17:05:59.304
