A,B,C,D,E,F,G,H,timestamp,marker,i
-0.0668349408093192,-0.15886383030157322,-0.06445672769294061,-0.0019465444530652027,-0.00970676210799843,0.00816344085318947,-0.008797651865639985,-0.005048691130083259,824896.0952367027,calib-begin,0
-0.06613571746362527,-0.16117808440109727,-0.06903635222389441,-0.003209394316049119,-0.015515820853387593,0.010616719830368344,-0.006396233782826686,-0.004232264251552255,824900.8517234173,imag_grasp,1
-0.06613349216200551,-0.1617174059237701,-0.07311031922286257,-0.003185556908732048,-0.019488320571437845,0.012579932908782142,-0.002042179603697146,-0.0034313054309324455,824905.595037732,imag_release,2
-0.06684379084748607,-0.16118070232288137,-0.07503840162651099,-0.0031072840644070995,-0.021903329497164982,0.014107256861661838,0.0030523233420201,-0.002631116395432298,824910.3166156466,imag_grasp,3
-0.0675147932034842,-0.15979414031771272,-0.0752634975689187,-0.0023534484687920214,-0.02244374251853019,0.014592780495861131,0.007342832738273517,-0.0016549300652498313,824915.0545680613,imag_release,4
-0.06725166930022576,-0.15737828411406324,-0.07546468736246839,0.0007053315359567249,-0.02026849477898316,0.01315757069439985,0.009502254530707493,-0.00033672288451969107,824919.7872819757,imag_grasp,5
-0.06629607036749455,-0.15389496211793305,-0.07615423023278788,0.006634602696366741,-0.014702629276615814,0.009358968342939124,0.008946471394128831,0.0012850635154439453,824924.5035539903,imag_release,6
-0.06619170441850186,-0.14992009496078954,-0.07575632421043103,0.013818992495674327,-0.006031341800142636,0.003669826485225258,0.006050216259927162,0.002880969251757975,824929.231773405,imag_grasp,7
-0.06800305720320438,-0.14651210260992042,-0.07276151373590817,0.0196688222969481,0.004371859740336606,-0.0026110139258750287,0.001924639643822341,0.003920325619175679,824933.9767721195,imag_release,8
-0.07096996232384158,-0.14467918546829595,-0.06783179679374933,0.022522648438638274,0.014492270151086383,-0.007950127393670178,-0.0020783253449376525,0.0039032461739989216,824938.6947986342,imag_grasp,9
-0.07331685115895148,-0.14486336141438758,-0.06307001120248502,0.022324174783034067,0.022377804640878494,-0.011255348582466136,-0.004855692357391429,0.002643779296270998,824943.4380059488,imag_release,10
-0.07421944477040876,-0.14664703229051326,-0.059566686845884384,0.020071050096958778,0.026795520614615292,-0.012300500356061582,-0.005821266520513869,0.00043511661181054313,824948.1849396634,imag_grasp,11
-0.07465150474603262,-0.14880867224138145,-0.056340796900254383,0.017171035931014482,0.027555770265683312,-0.01180519951812061,-0.004979523735277549,-0.0019988629722325936,824952.9105677779,imag_release,12
-0.07584121018584501,-0.1497021805529511,-0.05236303565176341,0.015508728548365134,0.02552022208384174,-0.011059409413527548,-0.0028522944037488425,-0.0037598622214800505,824957.6658536928,imag_grasp,13
