%OpenBCI Raw EEG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Timestamp (Formatted)
209.0, 160153.171875, 187500.0, -30396.962890625, -13329.7080078125, 24353.521484375, -24430.92578125, -25424.236328125, -25800.05859375, -0.07600000500679016, 0.9440000653266907, 0.21400001645088196, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154779152502162E9, 2021-03-11 16:51:55.250
210.0, 160073.796875, 187500.0, -30483.53125, -13457.0009765625, 26012.333984375, -24564.857421875, -25480.00390625, -25903.099609375, -0.07600000500679016, 0.9440000653266907, 0.21400001645088196, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.615477915250357E9, 2021-03-11 16:51:55.250
211.0, 159964.015625, 187500.0, -24007.203125, -13604.03125, 27966.12109375, -24716.53515625, -25581.5703125, -26032.62890625, -0.07600000500679016, 0.9440000653266907, 0.21400001645088196, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154779152503638E9, 2021-03-11 16:51:55.250
212.0, 159950.21875, 187500.0, -19262.15234375, -13584.361328125, 27225.630859375, -24689.490234375, -25598.55859375, -26026.37109375, -0.07600000500679016, 0.9440000653266907, 0.21400001645088196, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.615477915250368E9, 2021-03-11 16:51:55.250
213.0, 160063.15625, 187500.0, -23785.205078125, -13406.888671875, 24155.015625, -24500.796875, -25483.53515625, -25863.671875, -0.07600000500679016, 0.9440000653266907, 0.21400001645088196, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154779152503738E9, 2021-03-11 16:51:55.250
214.0, 160133.6875, 187500.0, -30435.765625, -13333.6640625, 23229.8984375, -24431.6171875, -25407.181640625, -25797.130859375, -0.08400000631809235, 0.9600000381469727, 0.21400001645088196, 192.0, 253.0, 96.0, 30.0, 0.0, 6.0, 176.0, 0.0, 0.0, 0.0, 1.6154779152503836E9, 2021-03-11 16:51:55.250
215.0, 160055.203125, 187500.0, -30425.86328125, -13455.1689453125, 25173.44921875, -24559.89453125, -25460.9609375, -25895.814453125, -0.08400000631809235, 0.9600000381469727, 0.21400001645088196, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154779152504423E9, 2021-03-11 16:51:55.250
216.0, 159937.390625, 187500.0, -23913.146484375, -13602.3544921875, 27366.134765625, -24715.708984375, -25568.763671875, -26031.064453125, -0.08400000631809235, 0.9600000381469727, 0.21400001645088196, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154779152504468E9, 2021-03-11 16:51:55.250
217.0, 159944.3125, 187500.0, -19233.921875, -13570.056640625, 26789.34765625, -24674.447265625, -25579.89453125, -26008.443359375, -0.08400000631809235, 0.9600000381469727, 0.21400001645088196, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154779152504528E9, 2021-03-11 16:51:55.250
218.0, 160077.6875, 187500.0, -23789.33984375, -13376.53515625, 23903.53515625, -24473.236328125, -25457.787109375, -25838.68359375, -0.08400000631809235, 0.9600000381469727, 0.21400001645088196, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154779152504601E9, 2021-03-11 16:51:55.250
219.0, 160136.34375, 187500.0, -30410.6640625, -13325.23828125, 23051.48828125, -24427.9296875, -25402.310546875, -25793.8671875, -0.08400000631809235, 0.9600000381469727, 0.21400001645088196, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154779152504718E9, 2021-03-11 16:51:55.250
220.0, 160052.765625, 187500.0, -30341.822265625, -13459.7509765625, 25029.974609375, -24563.380859375, -25464.759765625, -25902.49609375, -0.08400000631809235, 0.9600000381469727, 0.21400001645088196, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154779152504826E9, 2021-03-11 16:51:55.250
221.0, 159955.65625, 187500.0, -23788.3125, -13599.9404296875, 27239.533203125, -24710.9921875, -25569.076171875, -26031.376953125, -0.08400000631809235, 0.9600000381469727, 0.21400001645088196, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154779152504952E9, 2021-03-11 16:51:55.250
222.0, 159950.15625, 187500.0, -19203.009765625, -13578.2822265625, 26627.36328125, -24680.884765625, -25589.70703125, -26020.625, -0.08400000631809235, 0.9600000381469727, 0.21400001645088196, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154779152505012E9, 2021-03-11 16:51:55.250
223.0, 160055.578125, 187500.0, -23860.10546875, -13416.34375, 23728.455078125, -24500.685546875, -25490.419921875, -25870.376953125, -0.08400000631809235, 0.9600000381469727, 0.21400001645088196, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154779152505207E9, 2021-03-11 16:51:55.250
224.0, 160130.421875, 187500.0, -30388.0234375, -13345.421875, 22949.697265625, -24436.357421875, -25415.630859375, -25804.349609375, -0.0820000022649765, 0.940000057220459, 0.22200001776218414, 192.0, 253.0, 112.0, 29.0, 96.0, 6.0, 240.0, 0.0, 0.0, 0.0, 1.615477915250534E9, 2021-03-11 16:51:55.250
225.0, 160062.625, 187500.0, -30184.822265625, -13461.740234375, 24981.716796875, -24562.0859375, -25464.6484375, -25901.06640625, -0.0820000022649765, 0.940000057220459, 0.22200001776218414, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154779152505436E9, 2021-03-11 16:51:55.250
226.0, 159955.453125, 187500.0, -23578.765625, -13605.193359375, 27207.1015625, -24718.099609375, -25577.994140625, -26038.865234375, -0.0820000022649765, 0.940000057220459, 0.22200001776218414, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154779152505608E9, 2021-03-11 16:51:55.250
227.0, 159955.515625, 187500.0, -19049.251953125, -13573.38671875, 26588.13671875, -24681.82421875, -25598.55859375, -26022.99609375, -0.0820000022649765, 0.940000057220459, 0.22200001776218414, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154779152505748E9, 2021-03-11 16:51:55.250
228.0, 160077.875, 187500.0, -23707.287109375, -13388.8955078125, 23714.439453125, -24485.240234375, -25482.08203125, -25853.45703125, -0.0820000022649765, 0.940000057220459, 0.22200001776218414, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154779152505984E9, 2021-03-11 16:51:55.250
229.0, 160129.640625, 187500.0, -30239.0703125, -13340.548828125, 22876.673828125, -24438.009765625, -25418.537109375, -25801.84765625, -0.0820000022649765, 0.940000057220459, 0.22200001776218414, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154779152506251E9, 2021-03-11 16:51:55.250
