%OpenBCI Raw EEG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Timestamp (Formatted)
47.0, 150463.6875, 187500.0, -187500.015625, -643.6631469726562, -187500.015625, -8705.490234375, -19047.529296875, -9305.634765625, 0.16600000858306885, 0.8920000195503235, 0.3360000252723694, 192.0, 5.0, 48.0, 27.0, 224.0, 10.0, 128.0, 0.0, 0.0, 0.0, 1.6154783660851364E9, 2021-03-11 16:59:26.085
48.0, 150829.390625, 187500.0, -187500.015625, -816.0845336914062, -187500.015625, -8352.533203125, -18681.6328125, -8967.1171875, 0.16600000858306885, 0.8920000195503235, 0.3360000252723694, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.615478366085139E9, 2021-03-11 16:59:26.085
49.0, 150772.96875, 187500.0, -187500.015625, -688.9254150390625, -187500.015625, -8385.63671875, -18719.228515625, -8986.5185546875, 0.16600000858306885, 0.8920000195503235, 0.3360000252723694, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.615478366085142E9, 2021-03-11 16:59:26.085
50.0, 150517.0, 187500.0, -187500.015625, -432.68505859375, -187500.015625, -8630.74609375, -18975.2890625, -9211.533203125, 0.16600000858306885, 0.8920000195503235, 0.3360000252723694, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.615478366085186E9, 2021-03-11 16:59:26.085
51.0, 150219.5, 187500.0, -187500.015625, -377.09625244140625, -187500.015625, -8894.6748046875, -19251.490234375, -9476.4912109375, 0.16600000858306885, 0.8920000195503235, 0.3360000252723694, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154783660851915E9, 2021-03-11 16:59:26.085
52.0, 150431.796875, 187500.0, -187500.015625, -661.76806640625, -187500.015625, -8702.673828125, -19047.931640625, -9307.4453125, 0.16600000858306885, 0.8920000195503235, 0.3360000252723694, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154783660851943E9, 2021-03-11 16:59:26.085
53.0, 150808.40625, 187500.0, -187500.015625, -827.4615478515625, -187500.015625, -8349.560546875, -18675.26171875, -8967.005859375, 0.16600000858306885, 0.8920000195503235, 0.3360000252723694, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154783660851989E9, 2021-03-11 16:59:26.085
54.0, 150779.984375, 187500.0, -187500.015625, -687.6290283203125, -187500.015625, -8374.505859375, -18700.453125, -8974.5830078125, 0.16600000858306885, 0.8920000195503235, 0.3360000252723694, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154783660852032E9, 2021-03-11 16:59:26.085
55.0, 150496.328125, 187500.0, -187500.015625, -431.6792297363281, -187500.015625, -8625.962890625, -18967.5546875, -9202.705078125, 0.16600000858306885, 0.8920000195503235, 0.3360000252723694, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154783660852067E9, 2021-03-11 16:59:26.085
56.0, 150213.34375, 187500.0, -187500.015625, -392.09429931640625, -187500.015625, -8887.142578125, -19249.6796875, -9467.6396484375, 0.16600000858306885, 0.8920000195503235, 0.3360000252723694, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.615478366085214E9, 2021-03-11 16:59:26.085
57.0, 150460.046875, 187500.0, -187500.015625, -660.7622680664062, -187500.015625, -8665.123046875, -19027.904296875, -9275.8173828125, 0.1600000113248825, 0.8960000276565552, 0.33000001311302185, 192.0, 5.0, 0.0, 28.0, 0.0, 10.0, 80.0, 0.0, 0.0, 0.0, 1.61547836608522E9, 2021-03-11 16:59:26.085
58.0, 150847.578125, 187500.0, -187500.015625, -817.6267700195312, -187500.015625, -8305.505859375, -18643.701171875, -8926.4375, 0.1600000113248825, 0.8960000276565552, 0.33000001311302185, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.615478366085226E9, 2021-03-11 16:59:26.085
59.0, 150792.28125, 187500.0, -187500.015625, -667.5795288085938, -187500.015625, -8351.1259765625, -18685.54296875, -8951.91796875, 0.1600000113248825, 0.8960000276565552, 0.33000001311302185, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154783660852327E9, 2021-03-11 16:59:26.085
60.0, 150495.046875, 187500.0, -187500.015625, -423.25262451171875, -187500.015625, -8626.029296875, -18979.201171875, -9209.90234375, 0.1600000113248825, 0.8960000276565552, 0.33000001311302185, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.61547836608524E9, 2021-03-11 16:59:26.085
61.0, 150231.03125, 187500.0, -187500.015625, -396.6763916015625, -187500.015625, -8891.6357421875, -19257.525390625, -9480.5810546875, 0.1600000113248825, 0.8960000276565552, 0.33000001311302185, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154783660852487E9, 2021-03-11 16:59:26.085
62.0, 150500.578125, 187500.0, -187500.015625, -683.404541015625, -187500.015625, -8680.5673828125, -19036.689453125, -9296.42578125, 0.1600000113248825, 0.8960000276565552, 0.33000001311302185, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154783660852573E9, 2021-03-11 16:59:26.085
63.0, 150852.75, 187500.0, -187500.015625, -823.1476440429688, -187500.015625, -8329.9365234375, -18662.87890625, -8953.7509765625, 0.1600000113248825, 0.8960000276565552, 0.33000001311302185, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154783660852647E9, 2021-03-11 16:59:26.085
64.0, 150778.453125, 187500.0, -187500.015625, -685.1703491210938, -187500.015625, -8377.3662109375, -18708.208984375, -8982.9873046875, 0.1600000113248825, 0.8960000276565552, 0.33000001311302185, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154783660852685E9, 2021-03-11 16:59:26.085
65.0, 150481.734375, 187500.0, -187500.015625, -427.49945068359375, -187500.015625, -8641.4521484375, -18987.626953125, -9225.771484375, 0.1600000113248825, 0.8960000276565552, 0.33000001311302185, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154783660852764E9, 2021-03-11 16:59:26.085
66.0, 150213.734375, 187500.0, -187500.015625, -407.7628479003906, -187500.015625, -8893.892578125, -19242.1015625, -9480.1787109375, 0.1600000113248825, 0.8960000276565552, 0.33000001311302185, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154783660852845E9, 2021-03-11 16:59:26.085
67.0, 150469.859375, 187500.0, -187500.015625, -693.3287353515625, -187500.015625, -8667.693359375, -19008.5703125, -9281.6953125, 0.15800000727176666, 0.8920000195503235, 0.3320000171661377, 192.0, 4.0, 240.0, 27.0, 224.0, 10.0, 96.0, 0.0, 0.0, 0.0, 1.6154783660852911E9, 2021-03-11 16:59:26.085
68.0, 150848.25, 187500.0, -187500.015625, -820.8677978515625, -187500.015625, -8321.46484375, -18652.708984375, -8946.7548828125, 0.15800000727176666, 0.8920000195503235, 0.3320000171661377, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.615478366085296E9, 2021-03-11 16:59:26.085
69.0, 150799.5625, 187500.0, -187500.015625, -680.0741577148438, -187500.015625, -8370.482421875, -18710.845703125, -8977.689453125, 0.15800000727176666, 0.8920000195503235, 0.3320000171661377, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.615478366085304E9, 2021-03-11 16:59:26.085
70.0, 150489.375, 187500.0, -187500.015625, -423.2079162597656, -187500.015625, -8645.0732421875, -18996.3671875, -9228.498046875, 0.15800000727176666, 0.8920000195503235, 0.3320000171661377, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154783660853112E9, 2021-03-11 16:59:26.085
71.0, 150226.15625, 187500.0, -187500.015625, -411.3614807128906, -187500.015625, -8891.27734375, -19248.6953125, -9479.240234375, 0.15800000727176666, 0.8920000195503235, 0.3320000171661377, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.615478366085314E9, 2021-03-11 16:59:26.085
72.0, 150498.328125, 187500.0, -187500.015625, -692.3676147460938, -187500.015625, -8640.669921875, -18975.71484375, -9251.07421875, 0.15800000727176666, 0.8920000195503235, 0.3320000171661377, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154783660853183E9, 2021-03-11 16:59:26.085
73.0, 150857.859375, 187500.0, -187500.015625, -807.5238037109375, -187500.015625, -8305.9306640625, -18631.251953125, -8923.93359375, 0.15800000727176666, 0.8920000195503235, 0.3320000171661377, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154783660853367E9, 2021-03-11 16:59:26.085
74.0, 150798.453125, 187500.0, -187500.015625, -673.212158203125, -187500.015625, -8374.416015625, -18703.42578125, -8973.5546875, 0.15800000727176666, 0.8920000195503235, 0.3320000171661377, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154783660853453E9, 2021-03-11 16:59:26.085
75.0, 150505.71875, 187500.0, -187500.015625, -430.24871826171875, -187500.015625, -8646.01171875, -18990.33203125, -9221.748046875, 0.15800000727176666, 0.8920000195503235, 0.3320000171661377, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154783660853484E9, 2021-03-11 16:59:26.085
76.0, 150230.0, 187500.0, -187500.015625, -420.4586486816406, -187500.015625, -8881.599609375, -19233.720703125, -9458.05078125, 0.15800000727176666, 0.8920000195503235, 0.3320000171661377, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154783660853512E9, 2021-03-11 16:59:26.085
77.0, 150494.5625, 187500.0, -187500.015625, -705.3316040039062, -187500.015625, -8637.49609375, -18971.802734375, -9240.568359375, 0.15000000596046448, 0.8920000195503235, 0.3320000171661377, 192.0, 4.0, 176.0, 27.0, 224.0, 10.0, 96.0, 0.0, 0.0, 0.0, 1.615478366085359E9, 2021-03-11 16:59:26.085
78.0, 150842.703125, 187500.0, -187500.015625, -832.937744140625, -187500.015625, -8323.587890625, -18642.650390625, -8936.607421875, 0.15000000596046448, 0.8920000195503235, 0.3320000171661377, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.615478366085369E9, 2021-03-11 16:59:26.085
79.0, 150775.671875, 187500.0, -187500.015625, -690.0653686523438, -187500.015625, -8388.408203125, -18705.5703125, -8984.529296875, 0.15000000596046448, 0.8920000195503235, 0.3320000171661377, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154783660853753E9, 2021-03-11 16:59:26.085
80.0, 150478.59375, 187500.0, -187500.015625, -431.5003967285156, -187500.015625, -8656.0927734375, -18990.01953125, -9235.5615234375, 0.15000000596046448, 0.8920000195503235, 0.3320000171661377, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.615478366085381E9, 2021-03-11 16:59:26.085
81.0, 150217.421875, 187500.0, -187500.015625, -440.2622985839844, -187500.015625, -8906.0078125, -19252.048828125, -9492.7626953125, 0.15000000596046448, 0.8920000195503235, 0.3320000171661377, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.615478366085396E9, 2021-03-11 16:59:26.085
82.0, 150522.296875, 187500.0, -187500.015625, -734.4559326171875, -187500.015625, -8634.7021484375, -18966.75, -9248.5927734375, 0.15000000596046448, 0.8920000195503235, 0.3320000171661377, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154783660854008E9, 2021-03-11 16:59:26.085
83.0, 150863.546875, 187500.0, -187500.015625, -836.2011108398438, -187500.015625, -8318.6484375, -18640.974609375, -8938.3505859375, 0.15000000596046448, 0.8920000195503235, 0.3320000171661377, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6154783660854087E9, 2021-03-11 16:59:26.085
84.0, 150786.71875, 187500.0, -187500.015625, -700.2577514648438, -187500.015625, -8394.9794921875, -18712.4765625, -8990.9443359375, 0.15000000596046448, 0.8920000195503235, 0.3320000171661377, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.615478366085415E9, 2021-03-11 16:59:26.085
