A,B,timestamp,marker,i
0.39451227247722764,0.4926337638555848,831786.5688466722,calib-begin,0
0.013665610973087485,0.23807387071036723,831791.4404564494,imag_grasp,1
-0.351026593203249,-0.426803508757637,831796.3063262266,imag_release,2
-0.49799244880877674,-1.2451900271699101,831801.1677097038,imag_grasp,3
-0.34982865760920173,-1.9558172617399032,831806.028982581,imag_release,4
0.024746648969469633,-2.3888993185041465,831810.9066676581,imag_grasp,5
0.46470854621432484,-2.494190230147901,831815.7718269353,imag_release,6
0.8120953334043659,-2.3092191521392373,831820.6367916125,imag_grasp,7
0.9956635355876658,-1.9032427992924759,831825.5199151896,imag_release,8
1.055481469137553,-1.3375208348799656,831830.4022323667,imag_grasp,9
1.1024070679945401,-0.6582279231815159,831835.3145592437,imag_release,10
1.2367782634200404,0.08101168923121747,831840.2116486208,imag_grasp,11
1.4771026955790931,0.7950002225846479,831845.0943996978,imag_release,12
1.739085807375444,1.369470633519982,831849.9798698749,imag_grasp,13
1.8761996668809124,1.6981897983797514,831854.859407052,imag_release,14
1.7590269738293163,1.736219691626994,831859.7314514293,imag_grasp,15
1.346575278862894,1.5377112971890141,831864.6158659064,imag_release,16
0.7043211161174696,1.2447789838093333,831869.4897173835,imag_grasp,17
-0.039625378615515336,1.0290513797729828,831874.3616657606,imag_release,18
-0.7692908309906861,1.011421125727543,831879.2575889376,imag_grasp,19
-1.445633429249673,1.1965232787630622,831884.1342342149,imag_release,20
-2.114872371479032,1.460374457953007,831889.0146636919,imag_grasp,21
-2.8512298516897965,1.6055329136738776,831893.8862505691,imag_release,22
-3.663892674962885,1.4572495060061275,831898.7641901462,imag_grasp,23
-4.42493466723262,0.9562243091042345,831903.6525366233,imag_release,24
-4.871400069183007,0.20011458325057532,831908.5188742005,imag_grasp,25
-4.693764018372567,-0.5857016825044585,831913.3874966777,imag_release,26
-3.6859568396268414,-1.1431389741825249,831918.249923055,imag_grasp,27
-1.8793109158857195,-1.288114331374339,831923.1067568321,imag_release,28
0.4084645387597088,-0.9879991233616472,831927.9865518092,imag_grasp,29
2.6460458800341855,-0.3740378003809647,831932.8551636864,imag_release,30
4.26693398234338,0.3180044898113403,831937.7385252635,imag_grasp,31
4.876878499681739,0.8418860116000303,831942.6118919407,imag_release,32
4.404200594210479,1.031978882460618,831947.4781326179,imag_grasp,33
3.119553925126399,0.8498116196070592,831952.3494326951,imag_release,34
1.5182325048468575,0.3753294021329261,831957.2232304721,imag_grasp,35
0.11805484998948707,-0.24301074259870128,831962.0851957494,imag_release,36
-0.7387521507881785,-0.8504715298651269,831966.9569618265,imag_grasp,37
-0.9946397693085088,-1.3329344838669717,831971.8073718038,imag_release,38
-0.8483011351904789,-1.6294270557061716,831976.6932267809,imag_grasp,39
-0.6159771177251143,-1.7223822107196407,831981.558366458,imag_release,40
-0.5529697206342408,-1.6199460834819615,831986.4444177352,imag_grasp,41
-0.7277318834714105,-1.3463925031031914,831991.3164404123,imag_release,42
-1.0044724994595027,-0.944323539144291,831996.1985295895,imag_grasp,43
-1.1394925337137358,-0.4789364091091039,832001.0970278664,imag_release,44
-0.9353295534247984,-0.03449017651329249,832005.9887722435,imag_grasp,45
-0.37176160402140723,0.30637174248760124,832010.8649741206,imag_release,46
0.35770004341770223,0.49376286714444534,832015.7560438977,imag_grasp,47
0.9201312092938403,0.535590281757783,832020.6393371748,imag_release,48
0.9970278056516717,0.4971597760291849,832025.507788352,imag_grasp,49
0.44350426212523425,0.4736563492809601,832030.3763742292,imag_release,50
-0.6283258527903565,0.5407262321440226,832035.2480380064,imag_grasp,51
-1.877252121775584,0.7175362911376096,832040.1448013834,imag_release,52
-2.8678020550813277,0.9520939515309057,832045.0058357606,imag_grasp,53
-3.244763696812829,1.1491306213041745,832049.9052262376,imag_release,54
-2.871978056045049,1.2218489404191273,832054.7740530148,imag_grasp,55
-1.8794087691742334,1.1359036222867436,832069.9022602438,imag_release,56
-0.5992567320045831,0.9283321734587315,832085.0919036727,imag_grasp,57
0.5726166431639728,0.6825608669053753,832089.9561571499,imag_release,58
1.3307017860057624,0.4765357043888038,832094.8390614269,imag_grasp,59
1.5601076351827798,0.33422771361113124,832099.6947639042,imag_release,60
1.3517641131070617,0.2098456039737597,832104.5594970814,imag_grasp,61
0.9357668225316123,0.0159840687336721,832109.4241586586,imag_release,62
0.5687814823167286,-0.3174176558876402,832114.3123752357,imag_grasp,63
0.4345130553727506,-0.7790799297583659,832119.1898994129,imag_release,64
0.5839636170688058,-1.260278614675168,832124.0657291899,imag_grasp,65
0.9409307842023525,-1.5880593071715754,832128.9347826671,imag_release,66
1.351907765026904,-1.6033190565513147,832133.8167422442,imag_grasp,67
1.6523464940003771,-1.2417676801372337,832138.6901444214,imag_release,68
1.719146429540277,-0.5746362068607425,832143.5505951985,imag_grasp,69
1.4970839726260048,0.21480627496280416,832148.4247435757,imag_release,70
1.2638028788944335,-1.2169756156534712,832153.3115421528,imag_grasp,71
-4.319627187463862,-0.335136366452505,832158.2093730299,imag_release,72
0.57016371180729,0.0283741662963863,832163.0762261071,imag_grasp,73
-1.17568129418717,-1.208905853476186,832167.9490757842,imag_release,74
-1.4610300227808246,0.5799008719783705,832172.8146779614,imag_grasp,75
-0.5857120811477563,1.2771862327759336,832177.6932964384,imag_release,76
2.349848349372795,-2.3572417074415766,832182.5805694157,imag_grasp,77
1.0828442209052638,1.5354071598139443,832187.4599995927,imag_release,78
1.5572058874929027,2.119729656973382,832192.3309281699,imag_grasp,79
-0.9176538103640082,-0.06312785935238659,832197.2092394471,imag_release,80
0.6720780116601608,3.2877628498552762,832202.0880360241,imag_grasp,81
-0.5503959126406154,-0.6868052246091464,832206.9539024014,imag_release,82
-1.3087838535635399,-0.9765884874635326,832211.8309068786,imag_grasp,83
-0.6232456659309615,0.7347527872843631,832216.6880983557,imag_release,84
-0.30937306741435017,1.8980015225947577,832221.5743321328,imag_grasp,85
0.6488382837100678,1.8556593334793912,832226.45386541,imag_release,86
-1.4504941132023421,-1.513947286242958,832231.331648387,imag_grasp,87
1.412413478112777,0.1708544012379075,832236.2022822642,imag_release,88
0.12391893154764554,-0.4498760080622317,832241.0721818414,imag_grasp,89
1.7573673088224477,-1.4565955408947195,832245.9425713186,imag_release,90
-0.3656822893621973,0.6184526136494044,832250.8322723956,imag_grasp,91
