A,B,timestamp,marker,i
-0.0668349408093192,-0.15886383030157322,824896.0952367027,calib-begin,0
-0.06613571746362527,-0.16117808440109727,824900.8517234173,imag_grasp,1
-0.06613349216200551,-0.1617174059237701,824905.595037732,imag_release,2
-0.06684379084748607,-0.16118070232288137,824910.3166156466,imag_grasp,3
-0.0675147932034842,-0.15979414031771272,824915.0545680613,imag_release,4
-0.06725166930022576,-0.15737828411406324,824919.7872819757,imag_grasp,5
-0.06629607036749455,-0.15389496211793305,824924.5035539903,imag_release,6
-0.06619170441850186,-0.14992009496078954,824929.231773405,imag_grasp,7
-0.06800305720320438,-0.14651210260992042,824933.9767721195,imag_release,8
-0.07096996232384158,-0.14467918546829595,824938.6947986342,imag_grasp,9
-0.07331685115895148,-0.14486336141438758,824943.4380059488,imag_release,10
-0.07421944477040876,-0.14664703229051326,824948.1849396634,imag_grasp,11
-0.07465150474603262,-0.14880867224138145,824952.9105677779,imag_release,12
-0.07584121018584501,-0.1497021805529511,824957.6658536928,imag_grasp,13
-0.07765622462287743,-0.14803248287577514,824962.3918747073,imag_release,14
-0.07884084294685524,-0.14375712939687346,824967.141515522,imag_grasp,15
-0.07852147460002233,-0.13850011241775248,824971.8885231366,imag_release,16
-0.0770884946488749,-0.13500312741705894,824976.6142224512,imag_grasp,17
-0.07516395307553238,-0.13571618852108863,824981.3330755658,imag_release,18
-0.07267666426155919,-0.14151740284695197,824986.0683188804,imag_grasp,19
-0.06948684124982518,-0.15124613966530373,824990.806216495,imag_release,20
-0.06663584454319435,-0.16226321974977131,824995.5564626097,imag_grasp,21
-0.0662709075286917,-0.17164294759233187,825000.2865865243,imag_release,22
-0.06954559418883219,-0.17719379874710925,825005.036168339,imag_grasp,23
-0.07513048810309782,-0.1781312291347775,825009.7909461537,imag_release,24
-0.08010074758211441,-0.17519112603045855,825014.5434730683,imag_grasp,25
-0.08228325560969883,-0.17012269494964843,825019.293448683,imag_release,26
-0.08166131637920504,-0.16476325955397425,825024.0176989975,imag_grasp,27
-0.07932320854238077,-0.16000818996152466,825028.7210851121,imag_release,28
-0.07608781821069474,-0.15555281488556538,825033.4532376267,imag_grasp,29
-0.07243157082546946,-0.15053727597066263,825038.1966722413,imag_release,30
-0.06924870116035581,-0.14455969585419223,825042.940083156,imag_grasp,31
-0.06786208053494625,-0.13833176495468266,825047.6581858705,imag_release,32
-0.06845661597200121,-0.13336126387037817,825052.4039811852,imag_grasp,33
-0.06937162255881298,-0.13115019266402272,825057.1273644997,imag_release,34
-0.06850535105644252,-0.13244538221291044,825061.8718800144,imag_grasp,35
-0.06552502898370115,-0.1368754143385653,825066.6265602291,imag_release,36
-0.06256908390004644,-0.1430867689699189,825071.3543801437,imag_grasp,37
-0.062176460273333796,-0.14919314114550375,825076.0827235582,imag_release,38
-0.06518869354155547,-0.15352571304312645,825080.8062612729,imag_grasp,39
-0.07059129550913497,-0.15541920706496667,825085.5480057874,imag_release,40
-0.07682548268190831,-0.15547974700865363,825090.3031252022,imag_grasp,41
-0.08282067988208179,-0.1550819810885863,825095.0288050168,imag_release,42
-0.08731389130054529,-0.15529811398845225,825099.7528798314,imag_grasp,43
-0.0885895312438184,-0.15612169541301268,825104.496519246,imag_release,44
-0.0856534322721377,-0.15658236964539413,825109.2235328605,imag_grasp,45
-0.07966890724351336,-0.15555600870333405,825113.9780780752,imag_release,46
-0.07381283153795229,-0.15269320710636422,825118.7148146898,imag_grasp,47
-0.07070870756435978,-0.14878611796064778,825123.4582684046,imag_release,48
-0.07048898030901425,-0.14549690823669137,825128.1928647191,imag_grasp,49
-0.07130234119913141,-0.14473878714524122,825132.9378190337,imag_release,50
-0.07137952677350391,-0.1477806811954624,825137.6490343483,imag_grasp,51
-0.07043994650444728,-0.15448271297781221,825142.3812284629,imag_release,52
-0.0688747744740995,-0.1629317507496576,825147.1056670775,imag_grasp,53
-0.06681939399627865,-0.16999372551235875,825151.8575246922,imag_release,54
-0.06452399019793303,-0.1727003510184713,825156.6021623068,imag_grasp,55
-0.06319095035381485,-0.16967022163383758,825171.4303119526,imag_release,56
-0.0647477946682628,-0.16178692727859106,825186.2992596985,imag_grasp,57
-0.06981354900968277,-0.15168410017965686,825191.032803713,imag_release,58
-0.07658901926851006,-0.14252934142685306,825195.7686281278,imag_grasp,59
-0.0821546819647798,-0.13685832168821893,825200.5098872423,imag_release,60
-0.08478266834245547,-0.1358147799937533,825205.2307286569,imag_grasp,61
-0.08503326810338047,-0.13892248101458637,825209.9682096714,imag_release,62
-0.08430540218812374,-0.1443180080885874,825214.7113547862,imag_grasp,63
-0.0831999062331877,-0.149554983308072,825219.4299592007,imag_release,64
-0.0815687020398954,-0.1526906773665773,825224.1495884153,imag_grasp,65
-0.07948055802847663,-0.15310697445261534,825228.8860245299,imag_release,66
-0.07751058708019844,-0.15162216183547655,825233.6099076445,imag_grasp,67
-0.07545165154973306,-0.1498130688309402,825238.3481823591,imag_release,68
-0.07173414471014027,-0.14916709949444254,825243.1158943739,imag_grasp,69
