A,B,C,D,E,F,G,timestamp,marker,i
-1.1504646938838037,1.3438428336600037,1.0714136961912757,-0.17983284867392715,-0.8181954873178428,0.6421189486163372,0.0205055949995169,829872.9591091699,calib-begin,0
-0.8303947738927013,0.9320448454753768,0.6005608309681042,-0.1238661165747204,-0.7971152825694993,0.6675917694519794,-0.072720318233555,829877.6914215429,imag_grasp,1
-0.3243877580256713,0.3922764738965889,0.008520002936043877,-0.12069980877915719,-0.6111604721540838,0.5646341154286625,-0.07161907640310544,829882.4395597158,imag_release,2
0.08444770282677634,-0.11049427709960284,-0.57548839557089,-0.1486902603785566,-0.3236974394968122,0.3553949162901451,0.021226427100207744,829887.1552774888,imag_grasp,3
0.17776908854914086,-0.44898738661744947,-1.0170663214845757,-0.1657886755870309,-0.04154645034864513,0.09361272443892704,0.1655682660669175,829891.8794714619,imag_release,4
-0.10077479269868168,-0.5665430786874706,-1.2138803078719527,-0.13886483149584924,0.13304144334634538,-0.15022030870961464,0.30318473434995064,829896.6350861347,imag_grasp,5
-0.6224669359876562,-0.4832087509957229,-1.1327614846417362,-0.06869302810968815,0.14889307632006854,-0.31120229227923857,0.38596713313920245,829901.3530969077,imag_release,6
-1.1403732810768619,-0.2708345594706615,-0.8359908552090869,0.0005747690961568957,0.028972864886492266,-0.34984317713114227,0.3951631941470028,829906.1076191806,imag_grasp,7
-1.3972686443090865,-0.020641040208103572,-0.46309434685944645,-0.002085983210951061,-0.1400079971540527,-0.26718028479611716,0.3447348209974259,829910.8317243536,imag_release,8
-1.2382132516133177,0.18681330558668485,-0.17897163294424345,-0.13677050317182873,-0.24975268669887646,-0.10816638989867032,0.2723459327220215,829915.5715544265,imag_grasp,9
-0.687290798637661,0.29645973901688244,-0.10521630228216744,-0.4120034527380522,-0.222068631623917,0.051010034601447596,0.21954136685491837,829920.3174068994,imag_release,10
0.0577446921418255,0.28029236615531933,-0.2652306361739876,-0.764671679884136,-0.04790447492203932,0.13092791708606197,0.21344560750105326,829925.0580534723,imag_grasp,11
0.7062855774051201,0.13563176416964293,-0.57227578032983,-1.0765179603454182,0.20576346695991496,0.08224820225226528,0.2542455080629746,829929.7907276454,imag_release,12
1.0275953676677259,-0.11871901434348933,-0.8609388874635241,-1.2216603972962794,0.42662736249280053,-0.09143200988485373,0.3123779403455142,829934.5376282182,imag_grasp,13
