A,B,C,D,timestamp,marker,i
-0.0668349408093192,-0.15886383030157322,-0.06445672769294061,-0.0019465444530652027,824896.0952367027,calib-begin,0
-0.06613571746362527,-0.16117808440109727,-0.06903635222389441,-0.003209394316049119,824900.8517234173,imag_grasp,1
-0.06613349216200551,-0.1617174059237701,-0.07311031922286257,-0.003185556908732048,824905.595037732,imag_release,2
-0.06684379084748607,-0.16118070232288137,-0.07503840162651099,-0.0031072840644070995,824910.3166156466,imag_grasp,3
-0.0675147932034842,-0.15979414031771272,-0.0752634975689187,-0.0023534484687920214,824915.0545680613,imag_release,4
-0.06725166930022576,-0.15737828411406324,-0.07546468736246839,0.0007053315359567249,824919.7872819757,imag_grasp,5
-0.06629607036749455,-0.15389496211793305,-0.07615423023278788,0.006634602696366741,824924.5035539903,imag_release,6
-0.06619170441850186,-0.14992009496078954,-0.07575632421043103,0.013818992495674327,824929.231773405,imag_grasp,7
-0.06800305720320438,-0.14651210260992042,-0.07276151373590817,0.0196688222969481,824933.9767721195,imag_release,8
-0.07096996232384158,-0.14467918546829595,-0.06783179679374933,0.022522648438638274,824938.6947986342,imag_grasp,9
-0.07331685115895148,-0.14486336141438758,-0.06307001120248502,0.022324174783034067,824943.4380059488,imag_release,10
-0.07421944477040876,-0.14664703229051326,-0.059566686845884384,0.020071050096958778,824948.1849396634,imag_grasp,11
-0.07465150474603262,-0.14880867224138145,-0.056340796900254383,0.017171035931014482,824952.9105677779,imag_release,12
-0.07584121018584501,-0.1497021805529511,-0.05236303565176341,0.015508728548365134,824957.6658536928,imag_grasp,13
-0.07765622462287743,-0.14803248287577514,-0.048591127656575486,0.017050990896579354,824962.3918747073,imag_release,14
-0.07884084294685524,-0.14375712939687346,-0.047244986441523015,0.022363788397898866,824967.141515522,imag_grasp,15
-0.07852147460002233,-0.13850011241775248,-0.04939075373981315,0.029263215904508387,824971.8885231366,imag_release,16
-0.0770884946488749,-0.13500312741705894,-0.05381033679383602,0.03340498391639435,824976.6142224512,imag_grasp,17
-0.07516395307553238,-0.13571618852108863,-0.05888494677483977,0.031183164303376924,824981.3330755658,imag_release,18
-0.07267666426155919,-0.14151740284695197,-0.0644367002226126,0.022204642141395486,824986.0683188804,imag_grasp,19
-0.06948684124982518,-0.15124613966530373,-0.07098713816438412,0.009365702051703749,824990.806216495,imag_release,20
-0.06663584454319435,-0.16226321974977131,-0.0776075543363095,-0.0032207601439523705,824995.5564626097,imag_grasp,21
-0.0662709075286917,-0.17164294759233187,-0.0814778569213476,-0.012444981797901013,825000.2865865243,imag_release,22
-0.06954559418883219,-0.17719379874710925,-0.08051459037506685,-0.016695789984556137,825005.036168339,imag_grasp,23
-0.07513048810309782,-0.1781312291347775,-0.0756317137332795,-0.015702706574284336,825009.7909461537,imag_release,24
-0.08010074758211441,-0.17519112603045855,-0.06990870314007559,-0.01061595819101316,825014.5434730683,imag_grasp,25
